Nama File,Status Encoding,Codec Video,Codec Audio,Resolution,Frame Rate,Pixel Format,Profile,Audio Sample Rate,File Size,Duration,Faststart,Valid Meta & TikTok (Ya/Tidak),Catatan Error bila ada
Kucing_HD_065.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,13.48 MB,8.34s,Ya,Ya,None
Kucing_HD_066.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.76 MB,9.96s,Ya,Ya,None
Kucing_HD_067.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.74 MB,13.03s,Ya,Ya,None
Kucing_HD_068.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,7.24 MB,30.26s,Ya,Ya,None
Kucing_HD_069.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,50.40 MB,51.25s,Ya,Ya,None
Kucing_HD_070.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,7.13 MB,14.88s,Ya,Ya,None
Kucing_HD_071.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.65 MB,10.73s,Ya,Ya,None
Kucing_HD_072.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.36 MB,7.27s,Ya,Ya,None
Kucing_HD_073.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,18.01 MB,19.53s,Ya,Ya,None
Kucing_HD_074.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.02 MB,7.04s,Ya,Ya,None
Kucing_HD_075.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,8.64 MB,13.96s,Ya,Ya,None
Kucing_HD_076.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.72 MB,7.92s,Ya,Ya,None
Kucing_HD_077.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.29 MB,5.50s,Ya,Ya,None
Kucing_HD_078.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.50 MB,8.34s,Ya,Ya,None
Kucing_HD_079.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,1.96 MB,6.06s,Ya,Ya,None
Kucing_HD_080.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,1.95 MB,8.15s,Ya,Ya,None
Kucing_HD_081.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,18.38 MB,23.57s,Ya,Ya,None
Kucing_HD_082.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.76 MB,7.36s,Ya,Ya,None
Kucing_HD_083.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,8.64 MB,17.67s,Ya,Ya,None
Kucing_HD_084.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,6.78 MB,16.00s,Ya,Ya,None
Kucing_HD_085.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.07 MB,7.97s,Ya,Ya,None
Kucing_HD_086.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.98 MB,6.94s,Ya,Ya,None
Kucing_HD_087.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,9.69 MB,7.27s,Ya,Ya,None
Kucing_HD_088.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.15 MB,10.15s,Ya,Ya,None
Kucing_HD_089.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,10.94 MB,14.47s,Ya,Ya,None
Kucing_HD_090.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.74 MB,9.50s,Ya,Ya,None
Kucing_HD_091.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.36 MB,6.01s,Ya,Ya,None
Kucing_HD_092.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,8.55 MB,15.40s,Ya,Ya,None
Kucing_HD_093.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.57 MB,5.88s,Ya,Ya,None
Kucing_HD_094.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,12.81 MB,23.66s,Ya,Ya,None
Kucing_HD_095.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,22.08 MB,19.34s,Ya,Ya,None
Kucing_HD_096.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,12.39 MB,27.24s,Ya,Ya,None
Kucing_HD_097.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,18.03 MB,10.01s,Ya,Ya,None
Kucing_HD_098.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,25.82 MB,44.28s,Ya,Ya,None
Kucing_HD_099.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,19.19 MB,28.31s,Ya,Ya,None
Kucing_HD_100.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,7.41 MB,15.07s,Ya,Ya,None
Kucing_HD_101.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,28.66 MB,25.47s,Ya,Ya,None
Kucing_HD_102.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,2.98 MB,6.57s,Ya,Ya,None
Kucing_HD_103.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.23 MB,8.20s,Ya,Ya,None
Kucing_HD_104.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,8.99 MB,14.51s,Ya,Ya,None
Kucing_HD_105.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,22.97 MB,28.45s,Ya,Ya,None
Kucing_HD_106.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,3.04 MB,10.10s,Ya,Ya,None
Kucing_HD_107.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,50.38 MB,60.02s,Ya,Ya,None
Kucing_HD_108.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,8.86 MB,23.34s,Ya,Ya,None
Kucing_HD_109.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,15.03 MB,19.44s,Ya,Ya,None
Kucing_HD_110.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,13.17 MB,19.53s,Ya,Ya,None
Kucing_HD_111.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,10.47 MB,10.10s,Ya,Ya,None
Kucing_HD_112.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,4.03 MB,14.93s,Ya,Ya,None
Kucing_HD_113.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,11.38 MB,22.92s,Ya,Ya,None
Kucing_HD_114.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,1.77 MB,4.67s,Ya,Ya,None
Kucing_HD_115.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,16.68 MB,19.71s,Ya,Ya,None
Kucing_HD_116.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,6.25 MB,11.73s,Ya,Ya,None
Kucing_HD_117.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,13.95 MB,38.57s,Ya,Ya,None
Kucing_HD_118.mp4,Berhasil,h264,aac,1080x1920,30.00,yuv420p,High,48000 Hz,1.24 MB,13.26s,Ya,Ya,None
